x,y,S
-5.2676,-6.0291,-0.9161
-5.1406,-6.0291,-0.88835
-5.0137,-6.0291,-0.86429
-4.8868,-6.0291,-0.84408
-4.7598,-6.0291,-0.82786
-4.6329,-6.0291,-0.81568
-4.506,-6.0291,-0.80753
-4.3791,-6.0291,-0.80333
-4.2521,-6.0291,-0.80296
-4.1252,-6.0291,-0.80621
-3.9983,-6.0291,-0.81283
-3.8713,-6.0291,-0.8225
-3.7444,-6.0291,-0.83486
-3.6175,-6.0291,-0.84952
-3.4906,-6.0291,-0.86604
-3.3636,-6.0291,-0.88393
-3.2367,-6.0291,-0.90272
-3.1098,-6.0291,-0.92189
-2.9828,-6.0291,-0.94093
-2.8559,-6.0291,-0.95933
-2.729,-6.0291,-0.97659
-2.6021,-6.0291,-0.99223
-2.4751,-6.0291,-1.0058
-2.3482,-6.0291,-1.0169
-2.2213,-6.0291,-1.025
-2.0943,-6.0291,-1.03
-1.9674,-6.0291,-1.0315
-1.8405,-6.0291,-1.0292
-1.7135,-6.0291,-1.023
-1.5866,-6.0291,-1.0129
-1.4597,-6.0291,-0.99865
-1.3328,-6.0291,-0.98042
-1.2058,-6.0291,-0.95826
-1.0789,-6.0291,-0.93233
-0.95197,-6.0291,-0.90283
-0.82504,-6.0291,-0.87003
-0.69811,-6.0291,-0.83427
-0.57118,-6.0291,-0.7959
-0.44425,-6.0291,-0.75535
-0.31732,-6.0291,-0.71306
-0.19039,-6.0291,-0.66951
-0.063465,-6.0291,-0.6252
0.063465,-6.0291,-0.58063
0.19039,-6.0291,-0.53631
0.31732,-6.0291,-0.49276
0.44425,-6.0291,-0.45048
0.57118,-6.0291,-0.40993
0.69811,-6.0291,-0.37156
0.82504,-6.0291,-0.3358
0.95197,-6.0291,-0.303
1.0789,-6.0291,-0.2735
1.2058,-6.0291,-0.24756
1.3328,-6.0291,-0.2254
1.4597,-6.0291,-0.20718
1.5866,-6.0291,-0.19296
1.7135,-6.0291,-0.1828
1.8405,-6.0291,-0.17663
1.9674,-6.0291,-0.17436
2.0943,-6.0291,-0.17582
2.2213,-6.0291,-0.18079
2.3482,-6.0291,-0.18897
2.4751,-6.0291,-0.20003
2.6021,-6.0291,-0.2136
2.729,-6.0291,-0.22924
2.8559,-6.0291,-0.2465
2.9828,-6.0291,-0.2649
3.1098,-6.0291,-0.28394
3.2367,-6.0291,-0.30311
3.3636,-6.0291,-0.3219
3.4906,-6.0291,-0.33979
3.6175,-6.0291,-0.3563
3.7444,-6.0291,-0.37096
3.8713,-6.0291,-0.38333
3.9983,-6.0291,-0.393
4.1252,-6.0291,-0.39962
4.2521,-6.0291,-0.40287
4.3791,-6.0291,-0.4025
4.506,-6.0291,-0.3983
4.6329,-6.0291,-0.39015
4.7598,-6.0291,-0.37797
4.8868,-6.0291,-0.36174
5.0137,-6.0291,-0.34154
5.1406,-6.0291,-0.31748
5.2676,-6.0291,-0.28973
5.3945,-6.0291,-0.25855
5.5214,-6.0291,-0.22423
5.6484,-6.0291,-0.18712
5.7753,-6.0291,-0.14761
5.9022,-6.0291,-0.10614
6.0291,-6.0291,-0.063162
6.1561,-6.0291,-0.019168
6.283,-6.0291,0.025339
-6.283,-5.9022,-1.2185
-6.1561,-5.9022,-1.1587
-6.0291,-5.9022,-1.0997
-5.9022,-5.9022,-1.0422
-5.7753,-5.9022,-0.98691
-5.6484,-5.9022,-0.93455
-5.5214,-5.9022,-0.88573
-5.3945,-5.9022,-0.84104
-5.2676,-5.9022,-0.801
-5.1406,-5.9022,-0.76604
-5.0137,-5.9022,-0.73652
-4.8868,-5.9022,-0.71271
-4.7598,-5.9022,-0.6948
-4.6329,-5.9022,-0.68286
-4.506,-5.9022,-0.67689
-4.3791,-5.9022,-0.67677
-4.2521,-5.9022,-0.6823
-4.1252,-5.9022,-0.6932
-3.9983,-5.9022,-0.70907
-3.8713,-5.9022,-0.72947
-3.7444,-5.9022,-0.75385
-3.6175,-5.9022,-0.78163
-3.4906,-5.9022,-0.81214
-3.3636,-5.9022,-0.8447
-3.2367,-5.9022,-0.87858
-3.1098,-5.9022,-0.91303
-2.9828,-5.9022,-0.94729
-2.8559,-5.9022,-0.9806
-2.729,-5.9022,-1.0122
-2.6021,-5.9022,-1.0414
-2.4751,-5.9022,-1.0676
-2.3482,-5.9022,-1.0901
-2.2213,-5.9022,-1.1082
-2.0943,-5.9022,-1.1217
-1.9674,-5.9022,-1.1299
-1.8405,-5.9022,-1.1327
-1.7135,-5.9022,-1.1296
-1.5866,-5.9022,-1.1207
-1.4597,-5.9022,-1.1057
-1.3328,-5.9022,-1.0848
-1.2058,-5.9022,-1.0581
-1.0789,-5.9022,-1.0259
-0.95197,-5.9022,-0.98829
-0.82504,-5.9022,-0.94586
-0.69811,-5.9022,-0.89903
-0.57118,-5.9022,-0.84836
-0.44425,-5.9022,-0.79445
-0.31732,-5.9022,-0.73797
-0.19039,-5.9022,-0.67963
-0.063465,-5.9022,-0.62015
0.063465,-5.9022,-0.56029
0.19039,-5.9022,-0.50082
0.31732,-5.9022,-0.44247
0.44425,-5.9022,-0.38599
0.57118,-5.9022,-0.33209
0.69811,-5.9022,-0.28141
0.82504,-5.9022,-0.23458
0.95197,-5.9022,-0.19215
1.0789,-5.9022,-0.15459
1.2058,-5.9022,-0.1223
1.3328,-5.9022,-0.095606
1.4597,-5.9022,-0.074721
1.5866,-5.9022,-0.059782
1.7135,-5.9022,-0.050825
1.8405,-5.9022,-0.047789
1.9674,-5.9022,-0.050519
2.0943,-5.9022,-0.058767
2.2213,-5.9022,-0.072197
2.3482,-5.9022,-0.090387
2.4751,-5.9022,-0.11284
2.6021,-5.9022,-0.13899
2.729,-5.9022,-0.16822
2.8559,-5.9022,-0.19985
2.9828,-5.9022,-0.23316
3.1098,-5.9022,-0.26741
3.2367,-5.9022,-0.30186
3.3636,-5.9022,-0.33574
3.4906,-5.9022,-0.3683
3.6175,-5.9022,-0.39882
3.7444,-5.9022,-0.42659
3.8713,-5.9022,-0.45098
3.9983,-5.9022,-0.47137
4.1252,-5.9022,-0.48725
4.2521,-5.9022,-0.49814
4.3791,-5.9022,-0.50367
4.506,-5.9022,-0.50355
4.6329,-5.9022,-0.49758
4.7598,-5.9022,-0.48564
4.8868,-5.9022,-0.46773
5.0137,-5.9022,-0.44392
5.1406,-5.9022,-0.4144
5.2676,-5.9022,-0.37944
5.3945,-5.9022,-0.3394
5.5214,-5.9022,-0.29471
5.6484,-5.9022,-0.24589
5.7753,-5.9022,-0.19353
5.9022,-5.9022,-0.13825
6.0291,-5.9022,-0.080754
6.1561,-5.9022,-0.021751
6.283,-5.9022,0.03801
-6.283,-5.7753,-1.2057
-6.1561,-5.7753,-1.1315
-6.0291,-5.7753,-1.0582
-5.9022,-5.7753,-0.98691
-5.7753,-5.7753,-0.91852
-5.6484,-5.7753,-0.85394
-5.5214,-5.7753,-0.794
-5.3945,-5.7753,-0.73945
-5.2676,-5.7753,-0.69098
-5.1406,-5.7753,-0.64917
-5.0137,-5.7753,-0.61447
-4.8868,-5.7753,-0.58724
-4.7598,-5.7753,-0.56772
-4.6329,-5.7753,-0.55601
-4.506,-5.7753,-0.5521
-4.3791,-5.7753,-0.55586
-4.2521,-5.7753,-0.56701
-4.1252,-5.7753,-0.58516
-3.9983,-5.7753,-0.60984
-3.8713,-5.7753,-0.64042
-3.7444,-5.7753,-0.67623
-3.6175,-5.7753,-0.71647
-3.4906,-5.7753,-0.76029
-3.3636,-5.7753,-0.80679
-3.2367,-5.7753,-0.85501
-3.1098,-5.7753,-0.90398
-2.9828,-5.7753,-0.9527
-2.8559,-5.7753,-1.0002
-2.729,-5.7753,-1.0455
-2.6021,-5.7753,-1.0876
-2.4751,-5.7753,-1.1257
-2.3482,-5.7753,-1.159
-2.2213,-5.7753,-1.1867
-2.0943,-5.7753,-1.2082
-1.9674,-5.7753,-1.2229
-1.8405,-5.7753,-1.2303
-1.7135,-5.7753,-1.2303
-1.5866,-5.7753,-1.2225
-1.4597,-5.7753,-1.2068
-1.3328,-5.7753,-1.1834
-1.2058,-5.7753,-1.1524
-1.0789,-5.7753,-1.1141
-0.95197,-5.7753,-1.0689
-0.82504,-5.7753,-1.0173
-0.69811,-5.7753,-0.95995
-0.57118,-5.7753,-0.89758
-0.44425,-5.7753,-0.83098
-0.31732,-5.7753,-0.76101
-0.19039,-5.7753,-0.68861
-0.063465,-5.7753,-0.61472
0.063465,-5.7753,-0.54034
0.19039,-5.7753,-0.46645
0.31732,-5.7753,-0.39404
0.44425,-5.7753,-0.32408
0.57118,-5.7753,-0.25748
0.69811,-5.7753,-0.19511
0.82504,-5.7753,-0.13777
0.95197,-5.7753,-0.086174
1.0789,-5.7753,-0.040955
1.2058,-5.7753,-0.002633
1.3328,-5.7753,0.028379
1.4597,-5.7753,0.051787
1.5866,-5.7753,0.067418
1.7135,-5.7753,0.075225
1.8405,-5.7753,0.075287
1.9674,-5.7753,0.067806
2.0943,-5.7753,0.053108
2.2213,-5.7753,0.031632
2.3482,-5.7753,0.0039302
2.4751,-5.7753,-0.029349
2.6021,-5.7753,-0.067467
2.729,-5.7753,-0.1096
2.8559,-5.7753,-0.15488
2.9828,-5.7753,-0.20236
3.1098,-5.7753,-0.25108
3.2367,-5.7753,-0.30004
3.3636,-5.7753,-0.34827
3.4906,-5.7753,-0.39477
3.6175,-5.7753,-0.43859
3.7444,-5.7753,-0.47883
3.8713,-5.7753,-0.51463
3.9983,-5.7753,-0.54522
4.1252,-5.7753,-0.56989
4.2521,-5.7753,-0.58805
4.3791,-5.7753,-0.5992
4.506,-5.7753,-0.60295
4.6329,-5.7753,-0.59905
4.7598,-5.7753,-0.58734
4.8868,-5.7753,-0.56782
5.0137,-5.7753,-0.54059
5.1406,-5.7753,-0.50589
5.2676,-5.7753,-0.46407
5.3945,-5.7753,-0.4156
5.5214,-5.7753,-0.36106
5.6484,-5.7753,-0.30112
5.7753,-5.7753,-0.23653
5.9022,-5.7753,-0.16814
6.0291,-5.7753,-0.096843
6.1561,-5.7753,-0.023576
6.283,-5.7753,0.050682
-6.283,-5.6484,-1.193
-6.1561,-5.6484,-1.1053
-6.0291,-5.6484,-1.0187
-5.9022,-5.6484,-0.93455
-5.7753,-5.6484,-0.85394
-5.6484,-5.6484,-0.77797
-5.5214,-5.6484,-0.70766
-5.3945,-5.6484,-0.64394
-5.2676,-5.6484,-0.58762
-5.1406,-5.6484,-0.53941
-5.0137,-5.6484,-0.49988
-4.8868,-5.6484,-0.46947
-4.7598,-5.6484,-0.44845
-4.6329,-5.6484,-0.43696
-4.506,-5.6484,-0.43498
-4.3791,-5.6484,-0.44234
-4.2521,-5.6484,-0.45872
-4.1252,-5.6484,-0.48365
-3.9983,-5.6484,-0.51652
-3.8713,-5.6484,-0.5566
-3.7444,-5.6484,-0.60304
-3.6175,-5.6484,-0.65489
-3.4906,-5.6484,-0.71112
-3.3636,-5.6484,-0.7706
-3.2367,-5.6484,-0.83219
-3.1098,-5.6484,-0.89468
-2.9828,-5.6484,-0.95687
-2.8559,-5.6484,-1.0176
-2.729,-5.6484,-1.0755
-2.6021,-5.6484,-1.1297
-2.4751,-5.6484,-1.179
-2.3482,-5.6484,-1.2223
-2.2213,-5.6484,-1.2589
-2.0943,-5.6484,-1.2879
-1.9674,-5.6484,-1.3086
-1.8405,-5.6484,-1.3205
-1.7135,-5.6484,-1.3232
-1.5866,-5.6484,-1.3165
-1.4597,-5.6484,-1.3002
-1.3328,-5.6484,-1.2744
-1.2058,-5.6484,-1.2394
-1.0789,-5.6484,-1.1955
-0.95197,-5.6484,-1.1431
-0.82504,-5.6484,-1.083
-0.69811,-5.6484,-1.0158
-0.57118,-5.6484,-0.94257
-0.44425,-5.6484,-0.86414
-0.31732,-5.6484,-0.78161
-0.19039,-5.6484,-0.69611
-0.063465,-5.6484,-0.60879
0.063465,-5.6484,-0.52088
0.19039,-5.6484,-0.43357
0.31732,-5.6484,-0.34806
0.44425,-5.6484,-0.26553
0.57118,-5.6484,-0.1871
0.69811,-5.6484,-0.11383
0.82504,-5.6484,-0.046697
0.95197,-5.6484,0.01343
1.0789,-5.6484,0.065785
1.2058,-5.6484,0.10973
1.3328,-5.6484,0.14476
1.4597,-5.6484,0.17052
1.5866,-5.6484,0.18679
1.7135,-5.6484,0.19353
1.8405,-5.6484,0.19082
1.9674,-5.6484,0.17891
2.0943,-5.6484,0.15821
2.2213,-5.6484,0.12923
2.3482,-5.6484,0.09267
2.4751,-5.6484,0.049305
2.6021,-5.6484,0.000041012
2.729,-5.6484,-0.054125
2.8559,-5.6484,-0.11212
2.9828,-5.6484,-0.1728
3.1098,-5.6484,-0.23499
3.2367,-5.6484,-0.29748
3.3636,-5.6484,-0.35907
3.4906,-5.6484,-0.41855
3.6175,-5.6484,-0.47478
3.7444,-5.6484,-0.52663
3.8713,-5.6484,-0.57307
3.9983,-5.6484,-0.61315
4.1252,-5.6484,-0.64602
4.2521,-5.6484,-0.67095
4.3791,-5.6484,-0.68733
4.506,-5.6484,-0.69469
4.6329,-5.6484,-0.69271
4.7598,-5.6484,-0.68122
4.8868,-5.6484,-0.6602
5.0137,-5.6484,-0.62979
5.1406,-5.6484,-0.59026
5.2676,-5.6484,-0.54205
5.3945,-5.6484,-0.48573
5.5214,-5.6484,-0.42201
5.6484,-5.6484,-0.3517
5.7753,-5.6484,-0.27573
5.9022,-5.6484,-0.19512
6.0291,-5.6484,-0.11096
6.1561,-5.6484,-0.02441
6.283,-5.6484,0.063355
-6.283,-5.5214,-1.1803
-6.1561,-5.5214,-1.0803
-6.0291,-5.5214,-0.9816
-5.9022,-5.5214,-0.88573
-5.7753,-5.5214,-0.794
-5.6484,-5.5214,-0.70766
-5.5214,-5.5214,-0.62791
-5.3945,-5.5214,-0.55583
-5.2676,-5.5214,-0.49236
-5.1406,-5.5214,-0.43834
-5.0137,-5.5214,-0.39441
-4.8868,-5.5214,-0.36109
-4.7598,-5.5214,-0.33871
-4.6329,-5.5214,-0.32742
-4.506,-5.5214,-0.32719
-4.3791,-5.5214,-0.33784
-4.2521,-5.5214,-0.35898
-4.1252,-5.5214,-0.39007
-3.9983,-5.5214,-0.43041
-3.8713,-5.5214,-0.47913
-3.7444,-5.5214,-0.53526
-3.6175,-5.5214,-0.59769
-3.4906,-5.5214,-0.6652
-3.3636,-5.5214,-0.73651
-3.2367,-5.5214,-0.81027
-3.1098,-5.5214,-0.88508
-2.9828,-5.5214,-0.95954
-2.8559,-5.5214,-1.0322
-2.729,-5.5214,-1.1018
-2.6021,-5.5214,-1.1669
-2.4751,-5.5214,-1.2263
-2.3482,-5.5214,-1.2789
-2.2213,-5.5214,-1.3235
-2.0943,-5.5214,-1.3593
-1.9674,-5.5214,-1.3855
-1.8405,-5.5214,-1.4014
-1.7135,-5.5214,-1.4067
-1.5866,-5.5214,-1.4009
-1.4597,-5.5214,-1.3841
-1.3328,-5.5214,-1.3562
-1.2058,-5.5214,-1.3175
-1.0789,-5.5214,-1.2684
-0.95197,-5.5214,-1.2095
-0.82504,-5.5214,-1.1416
-0.69811,-5.5214,-1.0656
-0.57118,-5.5214,-0.9824
-0.44425,-5.5214,-0.8932
-0.31732,-5.5214,-0.79923
-0.19039,-5.5214,-0.7018
-0.063465,-5.5214,-0.60226
0.063465,-5.5214,-0.50202
0.19039,-5.5214,-0.40249
0.31732,-5.5214,-0.30505
0.44425,-5.5214,-0.21108
0.57118,-5.5214,-0.12189
0.69811,-5.5214,-0.038692
0.82504,-5.5214,0.037363
0.95197,-5.5214,0.10526
1.0789,-5.5214,0.16411
1.2058,-5.5214,0.21318
1.3328,-5.5214,0.25187
1.4597,-5.5214,0.27977
1.5866,-5.5214,0.29663
1.7135,-5.5214,0.30239
1.8405,-5.5214,0.29716
1.9674,-5.5214,0.28122
2.0943,-5.5214,0.25504
2.2213,-5.5214,0.21924
2.3482,-5.5214,0.17461
2.4751,-5.5214,0.12206
2.6021,-5.5214,0.062647
2.729,-5.5214,-0.0024726
2.8559,-5.5214,-0.072045
2.9828,-5.5214,-0.14475
3.1098,-5.5214,-0.2192
3.2367,-5.5214,-0.29401
3.3636,-5.5214,-0.36777
3.4906,-5.5214,-0.43908
3.6175,-5.5214,-0.50659
3.7444,-5.5214,-0.56902
3.8713,-5.5214,-0.62515
3.9983,-5.5214,-0.67388
4.1252,-5.5214,-0.71421
4.2521,-5.5214,-0.7453
4.3791,-5.5214,-0.76644
4.506,-5.5214,-0.77709
4.6329,-5.5214,-0.77687
4.7598,-5.5214,-0.76558
4.8868,-5.5214,-0.74319
5.0137,-5.5214,-0.70987
5.1406,-5.5214,-0.66595
5.2676,-5.5214,-0.61192
5.3945,-5.5214,-0.54846
5.5214,-5.5214,-0.47637
5.6484,-5.5214,-0.39662
5.7753,-5.5214,-0.31029
5.9022,-5.5214,-0.21855
6.0291,-5.5214,-0.12269
6.1561,-5.5214,-0.024033
6.283,-5.5214,0.07603
-6.283,-5.3945,-1.1676
-6.1561,-5.3945,-1.0566
-6.0291,-5.3945,-0.94728
-5.9022,-5.3945,-0.84104
-5.7753,-5.3945,-0.73945
-5.6484,-5.3945,-0.64394
-5.5214,-5.3945,-0.55583
-5.3945,-5.3945,-0.47634
-5.2676,-5.3945,-0.40655
-5.1406,-5.3945,-0.34737
-5.0137,-5.3945,-0.29955
-4.8868,-5.3945,-0.26365
-4.7598,-5.3945,-0.24006
-4.6329,-5.3945,-0.22894
-4.506,-5.3945,-0.23028
-4.3791,-5.3945,-0.24383
-4.2521,-5.3945,-0.26919
-4.1252,-5.3945,-0.30574
-3.9983,-5.3945,-0.35269
-3.8713,-5.3945,-0.40907
-3.7444,-5.3945,-0.47378
-3.6175,-5.3945,-0.54557
-3.4906,-5.3945,-0.62309
-3.3636,-5.3945,-0.70487
-3.2367,-5.3945,-0.78941
-3.1098,-5.3945,-0.87513
-2.9828,-5.3945,-0.96045
-2.8559,-5.3945,-1.0438
-2.729,-5.3945,-1.1236
-2.6021,-5.3945,-1.1984
-2.4751,-5.3945,-1.2669
-2.3482,-5.3945,-1.3275
-2.2213,-5.3945,-1.3793
-2.0943,-5.3945,-1.4212
-1.9674,-5.3945,-1.4522
-1.8405,-5.3945,-1.4717
-1.7135,-5.3945,-1.4792
-1.5866,-5.3945,-1.4743
-1.4597,-5.3945,-1.4569
-1.3328,-5.3945,-1.4271
-1.2058,-5.3945,-1.3852
-1.0789,-5.3945,-1.3316
-0.95197,-5.3945,-1.2669
-0.82504,-5.3945,-1.1922
-0.69811,-5.3945,-1.1082
-0.57118,-5.3945,-1.0162
-0.44425,-5.3945,-0.91749
-0.31732,-5.3945,-0.81339
-0.19039,-5.3945,-0.70539
-0.063465,-5.3945,-0.59503
0.063465,-5.3945,-0.48387
0.19039,-5.3945,-0.37351
0.31732,-5.3945,-0.26551
0.44425,-5.3945,-0.16141
0.57118,-5.3945,-0.062672
0.69811,-5.3945,0.029311
0.82504,-5.3945,0.11327
0.95197,-5.3945,0.18805
1.0789,-5.3945,0.25265
1.2058,-5.3945,0.30625
1.3328,-5.3945,0.34818
1.4597,-5.3945,0.37798
1.5866,-5.3945,0.39536
1.7135,-5.3945,0.40026
1.8405,-5.3945,0.39279
1.9674,-5.3945,0.37328
2.0943,-5.3945,0.34226
2.2213,-5.3945,0.30042
2.3482,-5.3945,0.24863
2.4751,-5.3945,0.18795
2.6021,-5.3945,0.11955
2.729,-5.3945,0.044727
2.8559,-5.3945,-0.035102
2.9828,-5.3945,-0.11845
3.1098,-5.3945,-0.20377
3.2367,-5.3945,-0.28949
3.3636,-5.3945,-0.37403
3.4906,-5.3945,-0.45581
3.6175,-5.3945,-0.53332
3.7444,-5.3945,-0.60512
3.8713,-5.3945,-0.66983
3.9983,-5.3945,-0.72621
4.1252,-5.3945,-0.77316
4.2521,-5.3945,-0.80971
4.3791,-5.3945,-0.83506
4.506,-5.3945,-0.84862
4.6329,-5.3945,-0.84995
4.7598,-5.3945,-0.83884
4.8868,-5.3945,-0.81524
5.0137,-5.3945,-0.77935
5.1406,-5.3945,-0.73153
5.2676,-5.3945,-0.67235
5.3945,-5.3945,-0.60256
5.5214,-5.3945,-0.52307
5.6484,-5.3945,-0.43496
5.7753,-5.3945,-0.33945
5.9022,-5.3945,-0.23786
6.0291,-5.3945,-0.13162
6.1561,-5.3945,-0.022249
6.283,-5.3945,0.088707
-6.283,-5.2676,-1.1549
-6.1561,-5.2676,-1.0346
-6.0291,-5.2676,-0.9161
-5.9022,-5.2676,-0.801
-5.7753,-5.2676,-0.69098
-5.6484,-5.2676,-0.58762
-5.5214,-5.2676,-0.49236
-5.3945,-5.2676,-0.40655
-5.2676,-5.2676,-0.33134
-5.1406,-5.2676,-0.26775
-5.0137,-5.2676,-0.21661
